npm verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
npm http cache https://registry.npmjs.org/@langchain%2fcore 15ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fcommunity 53ms (cache hit)
npm http cache https://registry.npmjs.org/@arcjet%2fredact 19ms (cache hit)
npm http cache https://registry.npmjs.org/@aws-crypto%2fsha256-js 34ms (cache hit)
npm http cache https://registry.npmjs.org/@aws-sdk%2fclient-dynamodb 13ms (cache hit)
npm http cache https://registry.npmjs.org/@aws-sdk%2fclient-lambda 12ms (cache hit)
npm http cache https://registry.npmjs.org/@aws-sdk%2fclient-s3 13ms (cache hit)
npm http cache https://registry.npmjs.org/@aws-sdk%2fclient-sagemaker-runtime 11ms (cache hit)
npm http cache https://registry.npmjs.org/@aws-sdk%2fclient-sfn 11ms (cache hit)
npm http cache https://registry.npmjs.org/@aws-sdk%2fcredential-provider-node 8ms (cache hit)
npm http cache https://registry.npmjs.org/@azure%2fsearch-documents 13ms (cache hit)
npm http cache https://registry.npmjs.org/@azure%2fstorage-blob 15ms (cache hit)
npm http cache https://registry.npmjs.org/@browserbasehq%2fsdk 7ms (cache hit)
npm http cache https://registry.npmjs.org/@browserbasehq%2fstagehand 13ms (cache hit)
npm http cache https://registry.npmjs.org/@playwright%2ftest 42ms (cache hit)
npm http cache https://registry.npmjs.org/deepmerge 9ms (cache hit)
npm http cache https://registry.npmjs.org/dotenv 5ms (cache hit)
npm http cache https://registry.npmjs.org/openai 15ms (cache hit)
npm http cache https://registry.npmjs.org/ws 7ms (cache hit)
npm http cache https://registry.npmjs.org/bufferutil 4ms (cache hit)
npm http cache https://registry.npmjs.org/utf-8-validate 4ms (cache hit)
npm http cache https://registry.npmjs.org/zod 12ms (cache hit)
npm http cache https://registry.npmjs.org/@clickhouse%2fclient 7ms (cache hit)
npm http cache https://registry.npmjs.org/@datastax%2fastra-db-ts 6ms (cache hit)
npm http cache https://registry.npmjs.org/@elastic%2felasticsearch 8ms (cache hit)
npm http cache https://registry.npmjs.org/@getmetal%2fmetal-sdk 5ms (cache hit)
npm http cache https://registry.npmjs.org/@getzep%2fzep-cloud 7ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fcore 16ms (cache hit)
npm http cache https://registry.npmjs.org/langchain 34ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fanthropic 9ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fcerebras 5ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fcohere 3ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fcore 15ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fdeepseek 5ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fgoogle-genai 5ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fgoogle-vertexai 4ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fgoogle-vertexai-web 5ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fgroq 5ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fmistralai 23ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2follama 4ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fxai 3ms (cache hit)
npm http cache https://registry.npmjs.org/axios 5ms (cache hit)
npm http cache https://registry.npmjs.org/cheerio 4ms (cache hit)
npm http cache https://registry.npmjs.org/handlebars 5ms (cache hit)
npm http cache https://registry.npmjs.org/peggy 4ms (cache hit)
npm http cache https://registry.npmjs.org/typeorm 21ms (cache hit)
npm http cache https://registry.npmjs.org/@google-cloud%2fspanner 7ms (cache hit)
npm http cache https://registry.npmjs.org/@sap%2fhana-client 6ms (cache hit)
npm http cache https://registry.npmjs.org/better-sqlite3 7ms (cache hit)
npm http cache https://registry.npmjs.org/ioredis 7ms (cache hit)
npm http cache https://registry.npmjs.org/mongodb 15ms (cache hit)
npm http cache https://registry.npmjs.org/@aws-sdk%2fcredential-providers 8ms (cache hit)
npm http cache https://registry.npmjs.org/@mongodb-js%2fzstd 5ms (cache hit)
npm http cache https://registry.npmjs.org/gcp-metadata 3ms (cache hit)
npm http cache https://registry.npmjs.org/kerberos 4ms (cache hit)
npm http cache https://registry.npmjs.org/mongodb-client-encryption 4ms (cache hit)
npm http cache https://registry.npmjs.org/snappy 4ms (cache hit)
npm http cache https://registry.npmjs.org/socks 4ms (cache hit)
npm http cache https://registry.npmjs.org/mssql 5ms (cache hit)
npm http cache https://registry.npmjs.org/mysql2 6ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fnode 27ms (cache hit)
npm http cache https://registry.npmjs.org/oracledb 13ms (cache hit)
npm http cache https://registry.npmjs.org/pg 5ms (cache hit)
npm http cache https://registry.npmjs.org/pg-native 9ms (cache hit)
npm http cache https://registry.npmjs.org/pg-query-stream 6ms (cache hit)
npm http cache https://registry.npmjs.org/redis 4ms (cache hit)
npm http cache https://registry.npmjs.org/sql.js 5ms (cache hit)
npm http cache https://registry.npmjs.org/sqlite3 5ms (cache hit)
npm http cache https://registry.npmjs.org/ts-node 7ms (cache hit)
npm http cache https://registry.npmjs.org/@swc%2fcore 15ms (cache hit)
npm http cache https://registry.npmjs.org/@swc%2fhelpers 6ms (cache hit)
npm http cache https://registry.npmjs.org/@swc%2fwasm 11ms (cache hit)
npm http cache https://registry.npmjs.org/typescript 34ms (cache hit)
npm http cache https://registry.npmjs.org/typeorm-aurora-data-api-driver 8ms (cache hit)
npm http cache https://registry.npmjs.org/@aws-sdk%2fclient-rds-data 9ms (cache hit)
npm http cache https://registry.npmjs.org/@getzep%2fzep-js 5ms (cache hit)
npm http cache https://registry.npmjs.org/@gomomento%2fsdk-core 6ms (cache hit)
npm http cache https://registry.npmjs.org/@google-cloud%2fstorage 5ms (cache hit)
npm http cache https://registry.npmjs.org/@gradientai%2fnodejs-sdk 5ms (cache hit)
npm http cache https://registry.npmjs.org/@huggingface%2finference 5ms (cache hit)
npm http cache https://registry.npmjs.org/@huggingface%2ftransformers 5ms (cache hit)
npm http cache https://registry.npmjs.org/@ibm-cloud%2fwatsonx-ai 4ms (cache hit)
npm http cache https://registry.npmjs.org/@lancedb%2flancedb 6ms (cache hit)
npm http cache https://registry.npmjs.org/apache-arrow 4ms (cache hit)
npm http cache https://registry.npmjs.org/@layerup%2flayerup-security 4ms (cache hit)
npm http cache https://registry.npmjs.org/@libsql%2fclient 5ms (cache hit)
npm http cache https://registry.npmjs.org/@mendable%2ffirecrawl-js 35ms (cache hit)
npm http cache https://registry.npmjs.org/@mlc-ai%2fweb-llm 4ms (cache hit)
npm http cache https://registry.npmjs.org/@mozilla%2freadability 5ms (cache hit)
npm http cache https://registry.npmjs.org/@neondatabase%2fserverless 4ms (cache hit)
npm http cache https://registry.npmjs.org/@notionhq%2fclient 4ms (cache hit)
npm http cache https://registry.npmjs.org/@opensearch-project%2fopensearch 4ms (cache hit)
npm http cache https://registry.npmjs.org/@planetscale%2fdatabase 5ms (cache hit)
npm http cache https://registry.npmjs.org/@premai%2fprem-sdk 4ms (cache hit)
npm http cache https://registry.npmjs.org/@raycast%2fapi 5ms (cache hit)
npm http cache https://registry.npmjs.org/react-devtools 4ms (cache hit)
npm http cache https://registry.npmjs.org/@rockset%2fclient 4ms (cache hit)
npm http cache https://registry.npmjs.org/@smithy%2feventstream-codec 3ms (cache hit)
npm http cache https://registry.npmjs.org/@smithy%2fprotocol-http 4ms (cache hit)
npm http cache https://registry.npmjs.org/@smithy%2fsignature-v4 3ms (cache hit)
npm http cache https://registry.npmjs.org/@smithy%2futil-utf8 4ms (cache hit)
npm http cache https://registry.npmjs.org/@spider-cloud%2fspider-client 7ms (cache hit)
npm http cache https://registry.npmjs.org/@supabase%2fsupabase-js 9ms (cache hit)
npm http cache https://registry.npmjs.org/@tensorflow-models%2funiversal-sentence-encoder 4ms (cache hit)
npm http cache https://registry.npmjs.org/@tensorflow%2ftfjs-converter 6ms (cache hit)
npm http cache https://registry.npmjs.org/@tensorflow%2ftfjs-core 6ms (cache hit)
npm http cache https://registry.npmjs.org/@upstash%2fratelimit 7ms (cache hit)
npm http cache https://registry.npmjs.org/@upstash%2fredis 11ms (cache hit)
npm http cache https://registry.npmjs.org/@upstash%2fvector 6ms (cache hit)
npm http cache https://registry.npmjs.org/@vercel%2fkv 9ms (cache hit)
npm http cache https://registry.npmjs.org/@vercel%2fpostgres 6ms (cache hit)
npm http cache https://registry.npmjs.org/@writerai%2fwriter-sdk 4ms (cache hit)
npm http cache https://registry.npmjs.org/@xata.io%2fclient 28ms (cache hit)
npm http cache https://registry.npmjs.org/@zilliz%2fmilvus2-sdk-node 14ms (cache hit)
npm http cache https://registry.npmjs.org/apify-client 10ms (cache hit)
npm http cache https://registry.npmjs.org/assemblyai 6ms (cache hit)
npm http cache https://registry.npmjs.org/azion 8ms (cache hit)
npm http cache https://registry.npmjs.org/cassandra-driver 5ms (cache hit)
npm http cache https://registry.npmjs.org/cborg 5ms (cache hit)
npm http cache https://registry.npmjs.org/chromadb 5ms (cache hit)
npm http cache https://registry.npmjs.org/closevector-common 4ms (cache hit)
npm http cache https://registry.npmjs.org/closevector-node 4ms (cache hit)
npm http cache https://registry.npmjs.org/closevector-web 4ms (cache hit)
npm http cache https://registry.npmjs.org/convex 7ms (cache hit)
npm http cache https://registry.npmjs.org/@auth0%2fauth0-react 6ms (cache hit)
npm http cache https://registry.npmjs.org/react 17ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom 23ms (cache hit)
npm http cache https://registry.npmjs.org/@clerk%2fclerk-react 42ms (cache hit)
npm http cache https://registry.npmjs.org/@clerk%2freact 49ms (cache hit)
npm http cache https://registry.npmjs.org/couchbase 5ms (cache hit)
npm http cache https://registry.npmjs.org/@opentelemetry%2fapi 4ms (cache hit)
npm http cache https://registry.npmjs.org/crypto-js 3ms (cache hit)
npm http cache https://registry.npmjs.org/d3-dsv 4ms (cache hit)
npm http cache https://registry.npmjs.org/discord.js 21ms (cache hit)
npm http cache https://registry.npmjs.org/duck-duck-scrape 5ms (cache hit)
npm http cache https://registry.npmjs.org/epub2 4ms (cache hit)
npm http cache https://registry.npmjs.org/faiss-node 5ms (cache hit)
npm http cache https://registry.npmjs.org/fast-xml-parser 4ms (cache hit)
npm http cache https://registry.npmjs.org/firebase-admin 5ms (cache hit)
npm http cache https://registry.npmjs.org/google-auth-library 7ms (cache hit)
npm http cache https://registry.npmjs.org/googleapis 6ms (cache hit)
npm http cache https://registry.npmjs.org/hnswlib-node 5ms (cache hit)
npm http cache https://registry.npmjs.org/html-to-text 4ms (cache hit)
npm http cache https://registry.npmjs.org/ibm-cloud-sdk-core 5ms (cache hit)
npm http cache https://registry.npmjs.org/ignore 4ms (cache hit)
npm http cache https://registry.npmjs.org/interface-datastore 4ms (cache hit)
npm http cache https://registry.npmjs.org/it-all 3ms (cache hit)
npm http cache https://registry.npmjs.org/jsdom 11ms (cache hit)
npm http cache https://registry.npmjs.org/canvas 6ms (cache hit)
npm http cache https://registry.npmjs.org/jsonwebtoken 3ms (cache hit)
npm http cache https://registry.npmjs.org/lodash 4ms (cache hit)
npm http cache https://registry.npmjs.org/lunary 5ms (cache hit)
npm http cache https://registry.npmjs.org/mammoth 4ms (cache hit)
npm http cache https://registry.npmjs.org/mariadb 4ms (cache hit)
npm http cache https://registry.npmjs.org/mem0ai 4ms (cache hit)
npm http cache https://registry.npmjs.org/@azure%2fidentity 16ms (cache hit)
npm http cache https://registry.npmjs.org/@cloudflare%2fworkers-types 9ms (cache hit)
npm http cache https://registry.npmjs.org/@google%2fgenai 15ms (cache hit)
npm http cache https://registry.npmjs.org/@modelcontextprotocol%2fsdk 4ms (cache hit)
npm http cache https://registry.npmjs.org/@cfworker%2fjson-schema 6ms (cache hit)
npm http cache https://registry.npmjs.org/@mistralai%2fmistralai 5ms (cache hit)
npm http cache https://registry.npmjs.org/@qdrant%2fjs-client-rest 4ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fjest 6ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fpg 6ms (cache hit)
npm http cache https://registry.npmjs.org/cloudflare 6ms (cache hit)
npm http cache https://registry.npmjs.org/groq-sdk 6ms (cache hit)
npm http cache https://registry.npmjs.org/neo4j-driver 7ms (cache hit)
npm http cache https://registry.npmjs.org/ollama 4ms (cache hit)
npm http cache https://registry.npmjs.org/node-llama-cpp 7ms (cache hit)
npm http cache https://registry.npmjs.org/notion-to-md 4ms (cache hit)
npm http cache https://registry.npmjs.org/officeparser 7ms (cache hit)
npm http cache https://registry.npmjs.org/pdf-parse 4ms (cache hit)
npm http cache https://registry.npmjs.org/pg-copy-streams 4ms (cache hit)
npm http cache https://registry.npmjs.org/pickleparser 3ms (cache hit)
npm http cache https://registry.npmjs.org/playwright 35ms (cache hit)
npm http cache https://registry.npmjs.org/portkey-ai 13ms (cache hit)
npm http cache https://registry.npmjs.org/puppeteer 11ms (cache hit)
npm http cache https://registry.npmjs.org/pyodide 5ms (cache hit)
npm http cache https://registry.npmjs.org/replicate 5ms (cache hit)
npm http cache https://registry.npmjs.org/sonix-speech-recognition 7ms (cache hit)
npm http cache https://registry.npmjs.org/srt-parser-2 48ms (cache hit)
npm http cache https://registry.npmjs.org/typesense 6ms (cache hit)
npm http cache https://registry.npmjs.org/@babel%2fruntime 10ms (cache hit)
npm http cache https://registry.npmjs.org/usearch 5ms (cache hit)
npm http cache https://registry.npmjs.org/voy-search 4ms (cache hit)
npm http cache https://registry.npmjs.org/word-extractor 3ms (cache hit)
npm http cache https://registry.npmjs.org/youtubei.js 5ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fgoogle-gauth 4ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2flanggraph-sdk 5ms (cache hit)
npm http cache https://registry.npmjs.org/svelte 13ms (cache hit)
npm http cache https://registry.npmjs.org/vue 10ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2fopenai 6ms (cache hit)
npm http cache https://registry.npmjs.org/@hono%2fnode-server 4ms (cache hit)
npm http cache https://registry.npmjs.org/hono 15ms (cache hit)
npm http cache https://registry.npmjs.org/tsx 6ms (cache hit)
npm http cache https://registry.npmjs.org/cors 28ms (cache hit)
npm http cache https://registry.npmjs.org/zod 37ms (cache hit)
npm http cache https://registry.npmjs.org/ai 66ms (cache hit)
npm http cache https://registry.npmjs.org/hono 133ms (cache hit)
npm http cache https://registry.npmjs.org/openai 207ms (cache hit)
npm http cache https://registry.npmjs.org/pino 226ms (cache hit)
npm http cache https://registry.npmjs.org/uuid 235ms (cache hit)
npm http cache https://registry.npmjs.org/express 240ms (cache hit)
npm http cache https://registry.npmjs.org/phoenix 246ms (cache hit)
npm http cache https://registry.npmjs.org/graphql 252ms (cache hit)
npm http cache https://registry.npmjs.org/clarinet 256ms (cache hit)
npm http cache https://registry.npmjs.org/@ag-ui%2fcore 249ms (cache hit)
npm http cache https://registry.npmjs.org/@scarf%2fscarf 82ms (cache hit)
npm http cache https://registry.npmjs.org/partial-json 48ms (cache hit)
npm http cache https://registry.npmjs.org/pino-pretty 161ms (cache hit)
npm http cache https://registry.npmjs.org/@ai-sdk%2fmcp 234ms (cache hit)
npm http cache https://registry.npmjs.org/@ag-ui%2fclient 46ms (cache hit)
npm http cache https://registry.npmjs.org/type-graphql 58ms (cache hit)
npm http cache https://registry.npmjs.org/@ai-sdk%2fgoogle 46ms (cache hit)
npm http cache https://registry.npmjs.org/graphql-yoga 114ms (cache hit)
npm http cache https://registry.npmjs.org/@ag-ui%2fencoder 141ms (cache hit)
npm http cache https://registry.npmjs.org/@ai-sdk%2fopenai 136ms (cache hit)
npm http cache https://registry.npmjs.org/@ag-ui%2flanggraph 184ms (cache hit)
npm http cache https://registry.npmjs.org/class-validator 189ms (cache hit)
npm http cache https://registry.npmjs.org/reflect-metadata 184ms (cache hit)
npm http cache https://registry.npmjs.org/graphql-scalars 201ms (cache hit)
npm http cache https://registry.npmjs.org/class-transformer 202ms (cache hit)
npm http cache https://registry.npmjs.org/@ai-sdk%2fanthropic 210ms (cache hit)
npm http cache https://registry.npmjs.org/@copilotkit%2fshared 212ms (cache hit)
npm http cache https://registry.npmjs.org/@ag-ui%2fmcp-apps-middleware 123ms (cache hit)
npm http cache https://registry.npmjs.org/@ai-sdk%2fgoogle-vertex 223ms (cache hit)
npm http cache https://registry.npmjs.org/@ag-ui%2fa2ui-middleware 160ms (cache hit)
npm http cache https://registry.npmjs.org/@segment%2fanalytics-node 164ms (cache hit)
npm http cache https://registry.npmjs.org/@copilotkit%2flicense-verifier 106ms (cache hit)
npm http cache https://registry.npmjs.org/@remix-run%2fnode-fetch-server 104ms (cache hit)
npm http cache https://registry.npmjs.org/@standard-schema%2fspec 79ms (cache hit)
npm http cache https://registry.npmjs.org/camelcase 79ms (cache hit)
npm http cache https://registry.npmjs.org/decamelize 72ms (cache hit)
npm http cache https://registry.npmjs.org/@graphql-yoga%2fplugin-defer-stream 124ms (cache hit)
npm http cache https://registry.npmjs.org/js-tiktoken 109ms (cache hit)
npm http cache https://registry.npmjs.org/mustache 90ms (cache hit)
npm http cache https://registry.npmjs.org/p-queue 91ms (cache hit)
npm http cache https://registry.npmjs.org/langsmith 120ms (cache hit)
npm http cache https://registry.npmjs.org/zod 110ms (cache hit)
npm http cache https://registry.npmjs.org/get-tsconfig 120ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild 126ms (cache hit)
npm http cache https://registry.npmjs.org/fsevents 131ms (cache hit)
npm http cache https://registry.npmjs.org/undici-types 138ms (cache hit)
npm http cache https://registry.npmjs.org/@copilotkit%2freact-core 12ms (cache hit)
npm http cache https://registry.npmjs.org/react 20ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom 22ms (cache hit)
npm http cache https://registry.npmjs.org/zod 16ms (cache hit)
npm http cache https://registry.npmjs.org/@copilotkit%2freact-ui 13ms (cache hit)
npm http cache https://registry.npmjs.org/@dnd-kit%2fcore 14ms (cache hit)
npm http cache https://registry.npmjs.org/@dnd-kit%2fsortable 19ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-accordion 7ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2freact 9ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2freact-dom 6ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-alert-dialog 7ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-aspect-ratio 8ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-avatar 8ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-checkbox 9ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-collapsible 7ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-context-menu 6ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-dialog 8ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-dropdown-menu 6ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-hover-card 8ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-label 8ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-menubar 7ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-navigation-menu 7ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-popover 9ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-progress 9ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-radio-group 8ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/@radix-ui%2freact-scroll-area 490ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@radix-ui%2freact-select 742ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@radix-ui%2freact-separator 777ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@radix-ui%2freact-slider 705ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@radix-ui%2freact-slot 289ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@radix-ui%2freact-switch 772ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@radix-ui%2freact-tabs 874ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@radix-ui%2freact-toast 1143ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@radix-ui%2freact-toggle 911ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@radix-ui%2freact-toggle-group 1335ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@radix-ui%2freact-tooltip 617ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@types%2flodash 208ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/class-variance-authority 235ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/clsx 289ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/cmdk 400ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/embla-carousel 796ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/embla-carousel-react 383ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/geist 489ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/next 819ms (cache revalidated)
npm http cache https://registry.npmjs.org/@playwright%2ftest 31ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/babel-plugin-react-compiler 66ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/sass 83ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/input-otp 310ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/lucide-react 67ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/motion 648ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@emotion%2fis-prop-valid 792ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/next-themes 548ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-day-picker 863ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-hook-form 317ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-resizable-panels 530ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-shiki 40ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-textarea-autosize 303ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/recharts 36ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-is 56ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/shiki 635ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/sonner 354ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/tailwind-merge 1161ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/tw-animate-css 1197ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/vaul 2326ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@tailwindcss%2fpostcss 584ms (cache revalidated)
npm http cache https://registry.npmjs.org/@types%2fnode 31ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/tailwindcss 122ms (cache revalidated)
npm http cache https://registry.npmjs.org/lucide-react 47ms (cache hit)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-tooltip 60ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/katex 97ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/streamdown 758ms (cache revalidated)
npm http cache https://registry.npmjs.org/@radix-ui%2freact-dropdown-menu 5ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/untruncate-json 1023ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/zod-to-json-schema 1026ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/use-stick-to-bottom 1029ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-markdown 1037ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@copilotkit%2fa2ui-renderer 1185ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@tanstack%2freact-virtual 1264ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@jetbrains%2fwebsandbox 1442ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@lit-labs%2freact 1516ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@copilotkit%2fcore 1519ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@copilotkit%2fruntime-client-gql 761ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@copilotkit%2fweb-inspector 1527ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@dnd-kit%2faccessibility 892ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@dnd-kit%2futilities 893ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@dnd-kit%2futilities 874ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@copilotkit%2fruntime-client-gql 983ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@radix-ui%2freact-id 813ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/remark-gfm 1616ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-syntax-highlighter 1328ms (cache revalidated)
